Questions_URL,Subject,Type,AmountQ,AmountA,a,
https://www.high-q.co.il/wp-content/uploads/2017/11/rootspowers2pra.pdf,MATH,ALG,6,6,TRUE,rootspowers2Q
https://www.high-q.co.il/wp-content/uploads/2017/11/rootspowers3pra.pdf,MATH,ALG,6,6,TRUE,rootspowers3Q
https://www.high-q.co.il/wp-content/uploads/2017/11/rootspowers6pra.pdf,MATH,ALG,5,5,TRUE,rootspowers6Q
https://www.high-q.co.il/wp-content/uploads/2017/11/rootspowers7pra.pdf,MATH,ALG,7,7,TRUE,rootspowers7Q
https://www.high-q.co.il/wp-content/uploads/2017/11/aeq1pra.pdf,MATH,ALG,5,5,TRUE,aeq1Q
https://www.high-q.co.il/wp-content/uploads/2017/11/aeq2pra.pdf,MATH,ALG,5,5,TRUE,aeq2Q
https://www.high-q.co.il/wp-content/uploads/2017/11/aeq3pra.pdf,MATH,ALG,5,5,TRUE,aeq3Q
https://www.high-q.co.il/wp-content/uploads/2017/11/aeq6pra.pdf,MATH,ALG,5,5,TRUE,aeq6Q
https://www.high-q.co.il/wp-content/uploads/2017/11/star1pra.pdf,MATH,ALG,5,5,TRUE,star1Q
https://www.high-q.co.il/wp-content/uploads/2017/11/eish2pra.pdf,MATH,ALG,5,5,TRUE,eish2Q
https://www.high-q.co.il/wp-content/uploads/2017/11/eish3pra.pdf,MATH,ALG,5,5,TRUE,eish3Q
https://www.high-q.co.il/wp-content/uploads/2017/11/int1pra.pdf,MATH,ALG,5,5,TRUE,int1Q
https://www.high-q.co.il/wp-content/uploads/2017/11/ratio3pra.pdf,MATH,PROB,6,6,TRUE,ratio3Q
https://www.high-q.co.il/wp-content/uploads/2017/11/ratio4pra.pdf,MATH,PROB,6,6,TRUE,ratio4Q
https://www.high-q.co.il/wp-content/uploads/2017/11/percent1pra.pdf,MATH,PROB,7,7,TRUE,percent1Q
https://www.high-q.co.il/wp-content/uploads/2017/11/percent5pra.pdf,MATH,PROB,6,6,TRUE,percent5Q
https://www.high-q.co.il/wp-content/uploads/2017/11/eqpro2pra.pdf,MATH,PROB,4,4,TRUE,eqpro2Q
https://www.high-q.co.il/wp-content/uploads/2017/11/eqpro3pra.pdf,MATH,PROB,5,5,TRUE,eqpro3Q
https://www.high-q.co.il/wp-content/uploads/2017/11/pace2pra.pdf,MATH,PROB,7,7,TRUE,pace2Q
https://www.high-q.co.il/wp-content/uploads/2017/11/pace3pra.pdf,MATH,PROB,7,7,TRUE,pace3Q
https://www.high-q.co.il/wp-content/uploads/2017/11/asquares2pra.pdf,MATH,GEO,4,4,TRUE,asquares2Q
https://www.high-q.co.il/wp-content/uploads/2017/11/asquares3pra.pdf,MATH,GEO,4,4,TRUE,asquares3Q
https://www.high-q.co.il/wp-content/uploads/2017/11/poly1pra.pdf,MATH,GEO,4,4,TRUE,poly1Q
https://www.high-q.co.il/wp-content/uploads/2017/11/volume2pra.pdf,MATH,GEO,5,5,TRUE,volume2Q
https://www.high-q.co.il/wp-content/uploads/2017/11/aeq4pra.pdf,MATH,ALG,5,5,TRUE,aeq4Q
https://www.high-q.co.il/wp-content/uploads/2017/11/aeq5pra.pdf,MATH,ALG,5,5,TRUE,aeq5Q
https://www.high-q.co.il/wp-content/uploads/2017/11/star3pra.pdf,MATH,ALG,3,3,TRUE,star3Q
https://www.high-q.co.il/wp-content/uploads/2017/11/eish1pra.pdf,MATH,ALG,5,5,TRUE,eish1Q
https://www.high-q.co.il/wp-content/uploads/2017/11/int3pra.pdf,MATH,ALG,5,5,TRUE,int3Q
https://www.high-q.co.il/wp-content/uploads/2017/11/ratio2pra.pdf,MATH,PROB,6,6,TRUE,ratio2Q
https://www.high-q.co.il/wp-content/uploads/2017/11/percent4pra.pdf,MATH,PROB,7,7,TRUE,percent4Q
